球,20250622_161301,1750579981.4322114,3,33.15,57.15,181.016,0,0,100,100,100,0,11
球,20250622_161301,1750579981.432224,1,-196.8,-415.05,0.0,0,0,100,100,100,0,12
球,20250622_161301,1750579981.432224,2,123.3,-24.6,91.476,0,0,100,100,100,0,12
球,20250622_161301,1750579981.432224,3,32.4,57.75,181.742,0,0,100,100,100,0,12
球,20250622_161301,1750579981.432236,1,-196.05,-414.0,-0.242,0,0,100,100,100,0,13
球,20250622_161301,1750579981.432236,2,122.55,-24.75,91.718,0,0,100,100,100,0,13
球,20250622_161301,1750579981.432236,3,32.55,58.05,180.048,0,0,100,100,100,0,13
球,20250622_161301,1750579981.432258,1,-193.8,-410.7,2.904,0,0,100,100,100,0,14
球,20250622_161301,1750579981.432258,2,123.0,-23.7,91.234,0,0,100,100,100,0,14
球,20250622_161301,1750579981.432258,3,32.25,56.55,181.258,0,0,100,100,100,0,14
球,20250622_161301,1750579981.4322705,1,-191.7,-408.9,4.598,0,0,100,100,100,0,15
球,20250622_161301,1750579981.4322705,2,122.1,-24.75,91.234,0,0,100,100,100,0,15
球,20250622_161301,1750579981.4322705,3,33.3,58.05,180.048,0,0,100,100,100,0,15
球,20250622_161301,1750579981.4322846,1,-189.45,-406.35,4.84,0,0,100,100,100,0,16
球,20250622_161301,1750579981.4322846,2,123.3,-24.15,92.202,0,0,100,100,100,0,16
球,20250622_161301,1750579981.4322846,3,33.15,57.45,182.226,0,0,100,100,100,0,16
球,20250622_161301,1750579981.432299,1,-186.45,-403.2,7.018,0,0,100,100,100,0,17
球,20250622_161301,1750579981.432299,2,122.1,-24.3,91.96,0,0,100,100,100,0,17
球,20250622_161301,1750579981.432299,3,32.25,57.6,180.532,0,0,100,100,100,0,17
球,20250622_161301,1750579981.4323118,1,-183.9,-401.85,9.438,0,0,100,100,100,0,18
球,20250622_161301,1750579981.4323118,2,123.15,-24.6,90.992,0,0,100,100,100,0,18
球,20250622_161301,1750579981.4323118,3,31.8,57.45,181.258,0,0,100,100,100,0,18
球,20250622_161301,1750579981.4323258,1,-181.65,-398.85,10.648,0,0,100,100,100,0,19
球,20250622_161301,1750579981.4323258,2,122.85,-24.45,92.202,0,0,100,100,100,0,19
球,20250622_161301,1750579981.4323258,3,33.0,57.45,180.774,0,0,100,100,100,0,19
球,20250622_161301,1750579981.4323397,1,-179.85,-396.3,10.406,0,0,100,100,100,0,20
球,20250622_161301,1750579981.4323397,2,122.4,-24.9,92.928,0,0,100,100,100,0,20
球,20250622_161301,1750579981.4323397,3,34.05,57.3,181.742,0,0,100,100,100,0,20
