grid_i,grid_j,X_original,Y_original,Z_original,X_deformed,Y_deformed,Z_deformed,grid_value,distance_from_origin,decay_factor
11,10,0.2631578947368416,0.7894736842105257,0.0,0.2631578947368416,1.1536399681491614,0.22901724290499476,0.22901724290499476,0.8321783316232569,0.9622573231302302
11,11,0.7894736842105257,0.7894736842105257,0.0,0.7894736842105257,1.1426021393055918,0.22207576248546906,0.22207576248546906,1.1164843913471794,0.9330914390145759
11,12,1.3157894736842106,0.7894736842105257,0.0,1.3157894736842106,1.1215200064213529,0.20881761048005515,0.20881761048005515,1.5344610249592894,0.877384917983425
11,13,1.8421052631578947,0.7894736842105257,0.0,1.8421052631578947,1.0922330690203372,0.1903996131186026,0.1903996131186026,2.004150817332607,0.7999983744479101
11,14,2.3684210526315788,0.7894736842105257,0.0,2.3684210526315788,1.0571620730865352,0.16834413146384006,0.16834413146384006,2.496534994869773,0.7073282834615129
11,15,2.894736842105263,0.7894736842105257,0.0,2.894736842105263,1.0189798901463005,0.14433208353207663,0.14433208353207663,3.000461644997731,0.6064373257650278
11,16,3.421052631578947,0.7894736842105257,0.0,3.421052631578947,0.9802798098288374,0.1199943397995989,0.1199943397995989,3.510964227401666,0.5041778983176425
11,17,3.947368421052632,0.7894736842105257,0.0,3.947368421052632,0.9432973556017996,0.09673677841491132,0.09673677841491132,4.025541721257462,0.406457052163493
11,18,4.473684210526315,0.7894736842105257,0.0,4.473684210526315,0.909724217802874,0.07562327122467673,0.07562327122467673,4.542809605692649,0.3177448370784737
11,19,5.0,0.7894736842105257,0.0,5.0,0.8806293844504012,0.057326084442040855,0.057326084442040855,5.061943174124038,0.24086590101697838
12,0,-5.0,1.3157894736842106,0.0,-5.0,1.4015030846280097,0.05390365809122512,0.05390365809122512,5.170232290628553,0.2264859583664921
12,1,-4.473684210526316,1.3157894736842106,0.0,-4.473684210526316,1.4288609264293017,0.0711084839564848,0.0711084839564848,4.663169775439303,0.2987751426743059
12,2,-3.947368421052632,1.3157894736842106,0.0,-3.947368421052632,1.460429713283959,0.09096149299706727,0.09096149299706727,4.160891658116289,0.38219114704650115
12,3,-3.4210526315789473,1.3157894736842106,0.0,-3.4210526315789473,1.4952042768605822,0.11283055398593331,0.11283055398593331,3.665365336101084,0.4740779579240895
12,4,-2.8947368421052633,1.3157894736842106,0.0,-2.8947368421052633,1.5315939224789672,0.13571530932263726,0.13571530932263726,3.1797489404196244,0.5702323921119212
12,5,-2.368421052631579,1.3157894736842106,0.0,-2.368421052631579,1.5674965897275548,0.1582938132337585,0.1582938132337585,2.709376352891316,0.6651000556040273
12,6,-1.8421052631578947,1.3157894736842106,0.0,-1.8421052631578947,1.6004738110419765,0.17903255989205516,0.17903255989205516,2.2637698071164807,0.7522376466052738
12,7,-1.3157894736842106,1.3157894736842106,0.0,-1.3157894736842106,1.6280122880820325,0.19635098382000693,0.19635098382000693,1.8608073189119674,0.8250041336975081
12,8,-0.7894736842105265,1.3157894736842106,0.0,-0.7894736842105265,1.6478357958950378,0.20881761048005515,0.20881761048005515,1.5344610249592898,0.877384917983425
12,9,-0.2631578947368425,1.3157894736842106,0.0,-0.2631578947368425,1.658214654975406,0.21534467736108992,0.21534467736108992,1.3418472404191542,0.9048095687440754
